total_purchase_count,average_order_value,days_since_first_purchase,days_since_last_purchase,product_category_diversity,loyalty_program_membership,estimated_lifetime_value
32.52,76.76,233.31,16.09,0.308,Not Enrolled,1142.62
32.34,61.41,1112.49,158.81,0.426,Not Enrolled,617.93
5.09,125.85,370.89,102.36,0.282,Not Enrolled,632.66
32.55,45.82,185.16,10.09,0.416,Not Enrolled,920.63
21.75,119.15,476.82,63.87,0.525,Not Enrolled,951.68
0.709,40.12,129.46,101.69,0.237,Enrolled,177.61
0.919,74.98,181.19,128.74,0.206,Not Enrolled,223.79
3.44,94.43,362.03,112.9,0.524,Not Enrolled,514.81
0.412,65.23,98.32,104.93,0.332,Enrolled,229.62
2.18,77.09,244.27,98.1,0.283,Not Enrolled,403.17
1.26,30.33,231.31,139.01,0.174,Not Enrolled,118.94
0.244,26.07,50.73,88.6,0.291,Enrolled,102.28
3.71,45.03,557.71,164.89,0.227,Enrolled,327.12
1.26,31.55,325.16,174.14,0.168,Enrolled,136.4
13.29,99.28,222.26,24.06,0.605,Not Enrolled,1401.27
12.51,49.45,360.19,57.48,0.214,Not Enrolled,536.89
10.56,41.67,694.91,150.09,0.115,Enrolled,313.24
0.37,69.03,217.06,195.75,0.112,Enrolled,208.22
5.66,48.07,298.81,76.7,0.0712,Not Enrolled,370.91
0.625,195.04,194.12,137.69,0.385,Enrolled,564.63
2.66,32.08,231.72,85.28,0.0768,Enrolled,231.26
1.46,56.51,298.81,147.3,0.488,Enrolled,231.82
16.43,52.02,418.49,64.96,0.131,Not Enrolled,496.02
0.44,143.97,37.28,39.19,0.17,Enrolled,819.4
2.97,52.14,141.87,50.47,0.153,Not Enrolled,357.6
0.908,75.07,95.21,62.79,0.372,Enrolled,400.46
8.4,51.37,406.21,91.83,0.262,Not Enrolled,352.25
6.48,80.56,479.95,117.1,0.167,Not Enrolled,536.58
0.176,45.54,80.52,139.32,0.0109,Enrolled,147.0
3.35,212.78,89.48,22.61,0.283,Not Enrolled,1713.1
1.51,113.81,214.51,100.47,0.225,Enrolled,536.15
12.22,40.64,833.72,163.01,0.139,Enrolled,382.28
1.03,33.77,46.9,37.08,0.149,Not Enrolled,195.97
4.78,73.55,275.29,66.62,0.323,Enrolled,645.26
8.34,80.93,322.77,67.98,0.235,Not Enrolled,577.63
2.97,66.34,247.31,95.05,0.421,Not Enrolled,291.47
1.11,81.63,469.18,253.52,0.241,Not Enrolled,218.27
2.74,159.35,397.92,145.89,0.47,Not Enrolled,560.8
22.54,78.95,316.61,29.86,0.416,Not Enrolled,1162.65
12.43,53.54,159.55,17.65,0.197,Not Enrolled,851.31
0.581,29.4,75.31,76.6,0.121,Enrolled,135.9
10.96,293.46,578.59,110.76,0.7,Not Enrolled,1433.16
1.36,41.31,153.64,84.84,0.373,Not Enrolled,210.79
1.07,55.83,246.97,145.2,0.307,Enrolled,213.09
17.72,325.95,350.99,36.73,0.409,Not Enrolled,3491.04
25.78,144.51,903.58,132.17,0.443,Not Enrolled,1123.52
5.32,66.01,200.75,51.03,0.161,Not Enrolled,489.61
10.83,59.7,320.89,50.81,0.343,Not Enrolled,677.45
32.79,130.71,327.88,24.9,0.377,Not Enrolled,1794.61
3.63,39.85,45.05,11.88,0.169,Not Enrolled,438.37
4.51,42.38,127.6,27.92,0.22,Enrolled,533.23
0.731,114.14,314.55,196.16,0.252,Enrolled,347.29
12.48,62.4,457.19,87.09,0.443,Not Enrolled,426.64
5.95,262.97,266.83,59.88,0.331,Not Enrolled,1498.21
3.55,282.19,289.48,81.24,0.204,Enrolled,1571.82
3.25,26.78,360.53,123.23,0.13,Enrolled,174.77
844.22,443.91,1088.65,19.85,0.447,Not Enrolled,12836.53
15.41,89.9,760.23,134.23,0.454,Not Enrolled,678.38
14.83,52.45,426.33,62.78,0.533,Not Enrolled,574.46
4.8,142.92,119.87,27.0,0.334,Not Enrolled,1123.32
11.15,60.13,354.8,59.39,0.154,Not Enrolled,634.92
35.09,75.31,602.55,68.48,0.274,Not Enrolled,789.73
0.579,63.62,184.42,142.99,0.0565,Enrolled,249.96
1.3,120.67,82.53,47.86,0.252,Not Enrolled,577.96
0.0305,68.07,187.63,450.04,0.0861,Enrolled,71.77
3.41,104.36,280.17,90.35,0.156,Not Enrolled,580.2
51.79,70.21,564.05,41.75,0.542,Not Enrolled,1213.14
0.812,183.05,139.32,99.51,0.0779,Not Enrolled,578.77
3.1,61.18,318.45,104.01,0.281,Enrolled,395.95
1.12,73.83,27.97,18.7,0.621,Not Enrolled,476.53
10.95,108.15,229.65,31.59,0.332,Not Enrolled,1228.55
23.34,31.54,670.65,92.24,0.723,Not Enrolled,354.57
21.19,42.01,362.71,43.35,0.0515,Not Enrolled,567.9
47.38,59.81,596.63,51.84,0.289,Not Enrolled,921.2
1.85,44.9,268.46,108.45,0.121,Enrolled,317.33
3.96,129.45,347.31,103.44,0.438,Not Enrolled,650.72
2.26,36.48,248.06,106.89,0.0976,Not Enrolled,194.54
1.69,78.47,132.91,63.15,0.225,Not Enrolled,434.02
22.08,34.83,298.33,30.77,0.0962,Not Enrolled,545.15
5.37,97.46,310.56,68.67,0.199,Enrolled,919.7
11.45,66.49,513.4,90.36,0.161,Enrolled,673.55
28.17,38.2,875.21,127.02,0.42,Not Enrolled,383.91
35.94,848.17,610.78,52.3,0.416,Not Enrolled,7976.19
0.741,108.24,105.83,87.18,0.184,Not Enrolled,355.74
14.85,186.09,565.45,82.31,0.562,Enrolled,1708.33
4.07,153.4,13.26,1.62,0.163,Enrolled,2534.05
10.08,30.4,201.46,33.43,0.17,Not Enrolled,339.33
3.06,45.89,199.01,65.62,0.177,Enrolled,350.76
4.58,51.73,154.48,35.2,0.167,Enrolled,589.16
9.24,37.38,390.81,73.44,0.487,Enrolled,376.89
2.41,36.73,118.85,43.7,0.343,Enrolled,304.76
37.17,84.62,204.84,10.34,0.417,Not Enrolled,1572.55
0.476,71.84,134.21,125.01,0.289,Enrolled,236.82
3.13,58.0,49.18,12.78,0.472,Not Enrolled,652.89
1.16,45.13,61.03,40.87,0.0625,Enrolled,282.03
1.2,167.61,304.78,155.39,0.216,Enrolled,558.38
2.21,31.79,541.37,222.22,0.329,Enrolled,137.0
100.82,45.5,328.73,9.59,0.368,Not Enrolled,1306.99
0.536,51.62,40.32,44.46,0.0391,Enrolled,297.17
27.93,108.98,278.24,20.51,0.244,Not Enrolled,1781.16
4.48,118.24,758.84,222.63,0.442,Enrolled,509.66
3.76,64.76,261.16,80.34,0.187,Not Enrolled,423.74
0.164,72.48,147.73,212.9,0.0678,Enrolled,162.23
5.63,56.71,855.47,250.14,0.236,Not Enrolled,253.25
15.1,174.16,793.09,131.31,0.55,Enrolled,1347.28
3.56,38.16,498.43,159.5,0.346,Enrolled,230.89
0.611,91.11,40.57,35.58,0.289,Enrolled,576.11
2.68,60.78,615.46,234.92,0.317,Not Enrolled,223.7
0.804,37.5,271.45,195.7,0.0711,Not Enrolled,112.9
0.223,44.72,44.64,88.3,0.273,Enrolled,140.39
209.33,498.24,476.2,6.57,0.621,Not Enrolled,16797.34
0.214,44.82,32.4,66.11,0.154,Enrolled,187.91
2.72,72.78,339.36,124.91,0.0791,Enrolled,381.09
19.41,86.86,977.95,165.84,0.473,Not Enrolled,679.63
2.77,70.79,274.85,95.2,0.383,Enrolled,423.21
57.92,26.68,412.09,24.23,0.437,Not Enrolled,555.04
1.09,35.04,145.81,97.02,0.0887,Not Enrolled,159.22
6.29,205.5,279.5,52.65,0.412,Enrolled,1802.8
1.71,83.35,157.19,78.1,0.408,Not Enrolled,359.07
91.01,212.25,265.22,4.63,0.595,Not Enrolled,6961.38
7.48,70.78,565.51,132.37,0.425,Not Enrolled,457.07
2.14,207.9,530.96,214.14,0.23,Not Enrolled,577.12
2.09,40.53,672.21,267.04,0.232,Enrolled,177.09
70.63,75.17,558.64,35.45,0.291,Not Enrolled,1348.34
15.67,58.5,229.38,25.8,0.226,Not Enrolled,823.72
6.73,31.62,349.02,85.18,0.0282,Enrolled,261.88
2.27,43.54,64.07,24.48,0.0701,Enrolled,412.19
2.8,32.16,621.73,244.8,0.138,Not Enrolled,126.6
0.171,164.94,7.54,25.61,0.0432,Enrolled,634.46
4.05,41.13,630.01,197.97,0.149,Enrolled,229.94
60.07,39.74,511.35,32.98,0.224,Not Enrolled,854.69
1.38,27.79,460.79,231.22,0.129,Enrolled,112.19
70.0,152.85,228.67,6.08,0.558,Not Enrolled,3458.81
2.71,38.46,100.82,37.22,0.387,Not Enrolled,285.09
0.767,32.8,493.79,303.16,0.34,Enrolled,97.14
4.23,74.52,729.21,227.29,0.249,Enrolled,329.57
11.39,86.49,522.11,104.74,0.0248,Not Enrolled,616.4
6.03,137.62,484.38,131.12,0.326,Not Enrolled,587.19
6.49,46.72,532.02,138.84,0.0526,Not Enrolled,308.93
6.04,68.24,530.8,132.45,0.163,Enrolled,480.99
0.169,58.13,143.08,221.66,0.11,Enrolled,112.39
17.41,202.66,506.01,68.26,0.616,Not Enrolled,1730.33
2.61,82.56,103.01,31.99,0.387,Enrolled,747.46
1.39,23.81,178.81,100.07,0.142,Enrolled,124.35
3.91,65.53,70.95,17.26,0.215,Not Enrolled,686.02
1.89,56.32,33.19,16.25,0.122,Not Enrolled,426.59
5.89,83.0,856.11,234.99,0.292,Enrolled,396.9
32.43,185.65,682.21,80.34,0.358,Not Enrolled,1608.23
1.01,70.1,117.6,72.73,0.334,Enrolled,361.45
24.52,125.2,167.53,10.36,0.176,Not Enrolled,2139.21
4.25,82.67,416.51,118.25,0.494,Enrolled,494.88
7.39,104.0,278.63,61.73,0.0931,Not Enrolled,706.63
3.75,37.32,157.26,46.88,0.133,Enrolled,318.71
76.18,109.26,642.2,38.62,0.287,Not Enrolled,2189.23
1.58,57.37,59.72,30.12,0.173,Enrolled,422.42
20.99,264.45,368.98,35.11,0.578,Not Enrolled,3097.16
0.817,34.67,120.9,93.09,0.189,Enrolled,155.71
19.82,60.7,688.94,109.04,0.328,Not Enrolled,534.75
1.96,70.3,208.33,93.89,0.0628,Not Enrolled,352.3
5.15,74.71,360.02,85.3,0.183,Enrolled,676.22
2.47,89.59,184.27,57.79,0.246,Enrolled,802.1
1.74,36.78,118.07,57.11,0.112,Enrolled,246.77
3.84,23.15,271.86,93.49,0.0129,Not Enrolled,147.83
14.55,37.94,337.4,56.18,0.212,Not Enrolled,330.32
26.09,84.76,540.47,61.88,0.258,Not Enrolled,1057.11
14.67,81.41,467.25,69.91,0.459,Not Enrolled,827.67
1.04,69.5,300.21,166.65,0.0727,Enrolled,285.49
5.35,28.59,501.84,149.21,0.111,Not Enrolled,164.89
16.91,31.25,1075.61,208.13,0.335,Enrolled,243.17
0.179,73.98,64.42,126.41,0.136,Enrolled,171.3
1.74,66.0,239.7,111.71,0.179,Not Enrolled,309.35
18.64,102.72,373.19,42.04,0.383,Not Enrolled,1330.65
0.122,52.63,62.13,152.58,0.0741,Enrolled,112.41
19.06,49.91,221.38,20.18,0.425,Not Enrolled,819.79
4.62,155.88,196.65,44.75,0.422,Enrolled,1249.58
2.75,47.43,296.29,121.31,0.205,Not Enrolled,204.55
12.2,141.91,270.66,35.69,0.645,Not Enrolled,1453.5
89.61,105.64,786.62,52.8,0.669,Not Enrolled,1690.12
357.49,226.48,945.27,28.47,0.229,Not Enrolled,5894.57
3.69,201.57,186.65,44.76,0.323,Enrolled,1705.56
1.62,93.6,340.85,160.7,0.272,Not Enrolled,330.87
6.13,113.1,159.79,30.04,0.141,Not Enrolled,1165.02
7.1,95.95,252.13,45.89,0.266,Enrolled,1019.43
11.31,29.56,468.42,93.73,0.171,Not Enrolled,243.59
0.237,29.23,40.58,87.18,0.121,Not Enrolled,93.16
8.53,46.99,498.38,111.32,0.0835,Not Enrolled,365.56
254.66,388.56,565.78,10.61,0.693,Not Enrolled,9576.68
35.31,35.32,721.76,87.41,0.236,Not Enrolled,429.22
11.38,269.14,230.72,32.65,0.314,Not Enrolled,2104.55
0.912,46.94,251.88,151.44,0.186,Enrolled,207.16
3.11,53.63,320.92,113.71,0.426,Not Enrolled,276.33
6.23,83.54,393.29,93.78,0.575,Not Enrolled,546.18
1.44,55.88,114.04,60.58,0.313,Not Enrolled,317.91
3.08,58.9,145.31,45.01,0.468,Enrolled,472.92
0.702,78.0,214.06,159.46,0.289,Not Enrolled,219.84
6.54,69.11,438.03,110.41,0.161,Not Enrolled,431.27
6.57,59.87,602.11,162.41,0.0404,Not Enrolled,334.08
8.45,99.54,234.4,42.62,0.116,Not Enrolled,901.58
7.76,199.69,219.24,35.58,0.346,Not Enrolled,1874.4
1.62,123.93,172.91,92.63,0.557,Not Enrolled,377.96
31.85,228.82,366.97,25.75,0.602,Not Enrolled,3332.25
20.13,57.88,427.79,58.53,0.155,Not Enrolled,595.65
6.84,71.82,218.45,45.23,0.138,Not Enrolled,648.89
6.6,71.76,349.57,86.14,0.317,Not Enrolled,443.81
22.39,91.72,456.34,58.25,0.192,Not Enrolled,909.53
44.19,91.65,317.12,17.65,0.242,Not Enrolled,1812.34
3.58,54.6,274.27,81.72,0.58,Enrolled,385.95
8.45,118.11,243.04,44.8,0.291,Not Enrolled,944.7
0.903,43.7,114.57,72.75,0.251,Enrolled,275.28
0.732,109.05,168.55,113.32,0.233,Enrolled,443.34
0.868,43.4,154.19,107.68,0.146,Enrolled,192.39
12.7,68.71,400.9,64.59,0.306,Not Enrolled,678.19
32.79,101.7,617.14,64.38,0.58,Not Enrolled,1242.97
21.29,221.11,517.96,57.68,0.274,Enrolled,2640.87
0.202,67.04,133.68,187.45,0.132,Enrolled,155.4
24.18,104.12,890.58,130.47,0.473,Not Enrolled,933.05
5.52,46.08,127.75,26.16,0.28,Not Enrolled,520.43
7.66,53.89,87.17,11.94,0.4,Not Enrolled,759.09
3.96,34.8,384.03,130.25,0.0317,Not Enrolled,192.95
27.22,174.08,540.88,61.31,0.234,Not Enrolled,1736.12
30.31,67.69,159.67,6.25,0.379,Enrolled,1983.02
5.2,56.59,440.41,127.87,0.127,Not Enrolled,313.62
5.47,179.4,67.94,11.04,0.474,Not Enrolled,1815.82
0.51,53.71,127.09,118.56,0.176,Enrolled,195.07
3.94,126.37,642.37,200.8,0.14,Enrolled,537.61
0.539,56.2,244.42,199.61,0.024,Enrolled,163.95
1.61,35.57,143.63,69.77,0.148,Enrolled,235.39
2.69,39.9,116.39,41.84,0.204,Enrolled,318.73
3.06,68.92,861.36,315.1,0.275,Not Enrolled,217.33
6.79,152.97,382.05,80.31,0.619,Not Enrolled,1059.98
15.64,179.01,655.99,110.56,0.546,Not Enrolled,1134.21
5.34,36.8,338.71,90.44,0.0312,Enrolled,294.73
1.12,97.68,227.98,132.92,0.101,Not Enrolled,345.73
2.03,45.65,201.47,87.71,0.189,Enrolled,260.67
17.97,44.88,527.65,87.66,0.0957,Not Enrolled,383.25
2.95,32.41,38.83,11.03,0.139,Enrolled,405.52
4.69,189.36,462.74,134.58,0.51,Not Enrolled,725.55
5.47,157.84,105.84,23.19,0.188,Not Enrolled,1138.82
2.97,119.01,88.45,23.09,0.337,Enrolled,1209.03
2.39,238.06,316.48,105.52,0.62,Enrolled,1167.01
0.207,64.33,71.52,120.35,0.0331,Enrolled,193.47
93.0,83.51,924.94,75.57,0.309,Not Enrolled,1137.94
9.66,70.9,563.83,117.64,0.188,Not Enrolled,529.06
3.19,61.02,197.28,68.25,0.228,Not Enrolled,367.56
41.79,53.74,988.9,129.6,0.209,Not Enrolled,536.8
9.77,78.54,934.38,230.89,0.224,Not Enrolled,347.8
2.12,45.5,82.02,32.43,0.1,Enrolled,405.1
21.04,185.16,346.16,34.25,0.52,Not Enrolled,2157.11
494.99,71.83,1184.76,38.15,0.61,Not Enrolled,2375.03
11.05,100.98,256.84,41.52,0.137,Not Enrolled,910.26
2.1,38.11,578.28,234.46,0.165,Enrolled,172.8
10.54,53.55,120.78,16.05,0.0721,Not Enrolled,695.77
44.47,48.81,781.13,77.39,0.404,Enrolled,780.51
0.248,48.27,129.65,171.53,0.289,Enrolled,124.1
27.12,53.55,397.04,42.27,0.0912,Not Enrolled,715.78
21.08,69.18,363.95,40.06,0.348,Not Enrolled,914.52
8.02,75.46,749.27,179.99,0.466,Not Enrolled,421.13
1.11,120.88,53.73,31.56,0.232,Enrolled,777.27
8.44,151.1,409.06,79.89,0.386,Not Enrolled,1093.37
48.5,298.51,887.78,75.51,0.692,Enrolled,4267.01
6.56,100.41,150.73,26.97,0.648,Not Enrolled,958.98
52.8,86.75,760.45,74.57,0.552,Not Enrolled,978.72
106.26,146.72,772.37,42.56,0.406,Not Enrolled,2907.19
22.75,128.22,558.43,76.52,0.268,Not Enrolled,1057.35
37.17,87.13,1009.86,145.36,0.415,Not Enrolled,624.8
0.684,40.04,63.25,64.32,0.0497,Not Enrolled,173.75
23.52,34.94,355.87,36.8,0.0949,Enrolled,571.98
0.694,60.79,177.43,122.56,0.289,Enrolled,272.58
4.81,60.3,202.63,50.36,0.0954,Enrolled,546.69
0.181,61.57,98.15,168.13,0.0823,Enrolled,134.32
7.59,216.28,142.48,23.18,0.429,Not Enrolled,1747.53
3.28,83.75,49.56,12.91,0.327,Not Enrolled,842.13
37.0,86.84,549.34,46.93,0.228,Enrolled,1530.17
5.43,78.84,214.43,47.65,0.461,Not Enrolled,689.87
8.41,185.7,351.25,65.75,0.119,Not Enrolled,1456.64
19.07,85.32,401.2,43.2,0.459,Enrolled,1297.29
23.54,48.4,835.81,128.29,0.354,Not Enrolled,461.98
16.39,49.33,535.19,86.13,0.582,Not Enrolled,437.28
7.4,44.21,240.63,53.52,0.0697,Not Enrolled,369.12
4.14,110.5,413.4,113.31,0.337,Enrolled,716.02
5.04,100.19,727.43,208.78,0.652,Not Enrolled,420.94
10.43,93.3,87.73,9.16,0.614,Not Enrolled,1212.39
7.24,103.22,510.55,114.36,0.457,Not Enrolled,690.2
3.24,98.84,315.47,102.16,0.397,Not Enrolled,535.33
2.02,92.65,162.43,71.81,0.361,Not Enrolled,436.68
11.27,91.07,508.65,89.78,0.118,Enrolled,865.97
2.18,79.06,140.5,55.83,0.0926,Enrolled,526.91
46.73,39.8,519.33,45.61,0.144,Not Enrolled,599.01
119.61,37.03,895.09,55.02,0.157,Enrolled,930.9
3.28,36.5,89.22,23.6,0.422,Enrolled,426.28
15.93,54.73,623.06,109.48,0.0583,Not Enrolled,474.14
14.91,98.71,357.44,44.38,0.506,Enrolled,1244.58
0.761,95.98,432.77,260.6,0.115,Enrolled,260.64
14.69,163.79,589.18,85.55,0.253,Enrolled,1755.44
2.1,91.15,668.91,268.83,0.0487,Enrolled,323.32
24.06,275.59,372.62,38.9,0.513,Not Enrolled,2318.3
8.39,223.13,235.63,35.83,0.746,Not Enrolled,1995.69
2.46,88.44,161.3,59.59,0.247,Not Enrolled,552.97
76.37,394.0,784.91,55.46,0.584,Not Enrolled,4459.84
0.815,106.12,567.77,320.6,0.459,Enrolled,234.53
9.18,129.23,566.63,112.09,0.265,Enrolled,981.1
4.22,135.3,694.36,204.48,0.397,Enrolled,599.59
0.706,81.0,340.85,213.89,0.214,Enrolled,261.71
8.42,77.72,381.24,84.56,0.122,Not Enrolled,518.18
1.64,103.87,142.21,70.27,0.388,Not Enrolled,462.99
38.09,61.58,966.27,119.73,0.113,Enrolled,784.89
1.3,110.34,191.91,102.98,0.214,Not Enrolled,440.2
9.59,35.79,509.1,103.69,0.093,Enrolled,337.85
12.21,101.13,441.03,77.0,0.138,Not Enrolled,830.99
1.1,71.35,38.64,26.1,0.358,Not Enrolled,445.88
8.81,70.03,55.52,5.21,0.474,Not Enrolled,1199.21
13.27,54.0,542.75,99.4,0.0948,Not Enrolled,465.35
1.64,47.8,244.95,117.94,0.216,Enrolled,230.98
22.45,39.26,426.94,54.02,0.324,Not Enrolled,448.31
18.21,90.97,290.62,34.58,0.15,Not Enrolled,1017.89
17.2,43.14,354.7,43.51,0.0359,Enrolled,677.85
9.29,160.03,637.11,124.54,0.371,Enrolled,1179.04
4.47,66.93,347.73,100.57,0.122,Not Enrolled,426.87
0.396,54.91,526.26,383.66,0.304,Enrolled,119.96
33.13,54.0,483.29,50.12,0.485,Not Enrolled,647.15
0.796,75.25,86.85,60.64,0.18,Enrolled,440.48
22.71,51.94,320.22,28.39,0.158,Enrolled,1020.17
1.87,58.71,75.68,34.19,0.294,Not Enrolled,411.59
10.68,136.33,292.59,49.94,0.22,Not Enrolled,1047.66
11.93,67.82,251.4,36.39,0.0967,Not Enrolled,803.26
28.98,83.19,990.76,154.74,0.317,Not Enrolled,601.5
6.09,78.88,179.97,35.65,0.246,Not Enrolled,806.28
0.891,24.31,76.3,61.4,0.0362,Enrolled,135.35
3.31,70.17,66.2,16.8,0.215,Enrolled,793.46
6.09,41.5,256.69,60.33,0.116,Not Enrolled,369.03
2.2,255.26,60.3,20.62,0.292,Not Enrolled,1737.53
22.68,111.76,417.91,41.53,0.478,Enrolled,1613.12
3.0,50.41,724.7,266.18,0.358,Not Enrolled,186.41
7.01,98.18,438.4,97.44,0.0918,Enrolled,759.7
4.66,65.61,282.64,74.46,0.151,Enrolled,516.03
2.79,68.75,313.37,110.81,0.285,Enrolled,383.62
16.05,26.58,968.8,199.19,0.128,Not Enrolled,183.21
4.7,340.76,356.67,83.16,0.529,Enrolled,2043.32
9.83,153.78,269.19,44.37,0.445,Not Enrolled,1238.45
26.95,42.64,385.41,34.58,0.474,Enrolled,757.03
1.04,118.08,118.35,71.59,0.36,Enrolled,530.91
11.13,43.69,281.45,44.75,0.379,Not Enrolled,482.9
3.52,134.36,327.69,108.7,0.239,Not Enrolled,584.75
6.9,45.31,278.91,62.78,0.102,Not Enrolled,392.63
4.19,212.86,185.2,45.28,0.311,Not Enrolled,1488.33
1.98,43.77,275.83,122.25,0.189,Enrolled,217.68
2.95,36.64,259.16,93.76,0.177,Enrolled,229.42
0.151,84.48,46.15,92.92,0.346,Enrolled,284.88
12.37,67.64,454.48,72.5,0.354,Enrolled,737.29
67.45,35.06,759.89,62.1,0.331,Not Enrolled,617.58
0.35,25.45,179.7,193.97,0.104,Enrolled,78.14
22.52,95.81,472.21,51.55,0.577,Not Enrolled,1263.6
0.25,32.06,76.31,122.99,0.0945,Enrolled,102.19
2.68,63.26,626.4,218.27,0.0611,Enrolled,342.12
94.65,65.35,182.89,2.57,0.783,Not Enrolled,2334.68
0.496,112.41,67.42,67.45,0.282,Enrolled,451.95
7.97,70.19,482.53,109.8,0.253,Not Enrolled,471.98
4.58,468.82,127.09,26.54,0.548,Not Enrolled,2935.26
4.02,54.31,240.9,78.71,0.176,Not Enrolled,303.46
4.76,33.68,192.64,50.01,0.509,Not Enrolled,282.97
23.13,120.58,489.02,58.25,0.0702,Not Enrolled,1389.01
0.178,30.62,160.11,232.51,0.248,Enrolled,72.88
15.67,142.17,198.61,17.93,0.721,Not Enrolled,1937.45
2.45,128.84,105.8,37.26,0.231,Not Enrolled,874.46
18.35,236.53,106.3,6.2,0.514,Not Enrolled,3405.87
2.76,27.28,509.38,199.79,0.227,Not Enrolled,121.11
2.55,180.67,236.34,90.48,0.164,Not Enrolled,738.0
4.03,32.05,361.34,112.95,0.278,Enrolled,204.91
36.05,228.3,382.84,26.68,0.457,Not Enrolled,3184.73
1.92,97.34,388.82,171.38,0.244,Not Enrolled,335.25
2.95,131.72,113.27,36.42,0.119,Not Enrolled,911.0
18.24,193.59,450.04,56.86,0.417,Not Enrolled,1823.33
1.07,26.75,153.63,104.32,0.0317,Enrolled,123.57
16.51,58.2,253.33,26.64,0.223,Enrolled,934.14
27.03,47.99,488.84,52.7,0.24,Not Enrolled,708.68
4.61,23.47,269.79,70.45,0.046,Enrolled,235.41
0.941,45.38,130.58,82.72,0.0611,Enrolled,272.09
1.89,52.97,806.67,335.25,0.171,Enrolled,181.85
1.29,62.85,350.87,182.2,0.321,Enrolled,223.1
3.4,41.9,353.02,132.88,0.0144,Not Enrolled,200.35
10.68,74.78,391.58,73.2,0.305,Not Enrolled,589.2
2.74,107.94,98.98,37.27,0.0762,Not Enrolled,640.1
22.07,94.07,586.74,82.46,0.495,Not Enrolled,803.63
1.31,219.99,95.4,49.29,0.279,Not Enrolled,1046.84
6.08,50.73,287.26,76.17,0.234,Not Enrolled,313.62
3.71,114.34,118.24,34.53,0.325,Not Enrolled,748.6
4.01,51.89,399.19,107.76,0.399,Enrolled,439.91
3.0,65.64,405.4,123.94,0.138,Enrolled,520.78
6.45,91.94,534.27,127.07,0.333,Enrolled,618.43
11.02,37.31,394.11,68.33,0.208,Enrolled,411.94
12.25,126.25,432.09,72.75,0.379,Not Enrolled,988.38
1.27,120.29,278.91,136.11,0.278,Enrolled,504.0
7.96,39.15,603.03,130.05,0.297,Enrolled,362.96
3.95,65.24,379.85,123.29,0.227,Not Enrolled,326.07
12.51,79.44,268.41,36.44,0.0972,Not Enrolled,1010.81
6.17,53.86,245.35,55.08,0.371,Not Enrolled,461.57
3.15,45.03,648.38,223.92,0.14,Enrolled,224.96
4.46,46.19,344.87,94.27,0.146,Enrolled,374.42
0.238,37.15,50.34,99.97,0.187,Not Enrolled,105.56
1.56,64.21,230.29,111.36,0.41,Not Enrolled,292.88
1.27,34.46,107.28,62.34,0.129,Enrolled,215.73
4.77,66.34,109.8,23.87,0.525,Not Enrolled,663.72
26.03,146.71,221.42,15.25,0.32,Not Enrolled,2205.07
1.11,90.66,299.72,164.19,0.214,Enrolled,319.21
0.282,172.78,141.2,153.8,0.217,Enrolled,427.24
6.92,32.04,122.77,22.28,0.333,Not Enrolled,373.83
5.19,219.74,412.64,100.96,0.0733,Enrolled,1380.13
8.07,41.29,695.51,172.11,0.275,Not Enrolled,250.71
2.23,68.43,117.36,45.22,0.0947,Enrolled,518.27
2.6,45.46,699.34,273.91,0.0508,Enrolled,173.87
8.16,71.01,276.6,47.86,0.491,Enrolled,775.49
12.69,103.87,563.11,101.8,0.332,Not Enrolled,770.34
2.19,64.9,346.9,152.85,0.102,Not Enrolled,247.46
70.03,126.29,629.62,42.55,0.491,Not Enrolled,1907.43
0.567,34.01,45.05,46.58,0.403,Enrolled,194.52
9.26,269.88,1075.32,243.59,0.535,Not Enrolled,1131.26
42.0,42.66,207.33,9.72,0.544,Not Enrolled,893.93
12.78,79.81,501.41,87.86,0.357,Not Enrolled,656.15
5.73,104.66,380.65,87.97,0.292,Enrolled,807.5
4.52,105.67,90.18,20.8,0.188,Not Enrolled,939.75
18.22,121.36,340.09,37.0,0.618,Not Enrolled,1477.03
6.57,34.53,285.71,65.75,0.357,Not Enrolled,292.69
143.65,90.27,501.38,18.29,0.441,Not Enrolled,1804.73
2.51,225.16,392.58,126.92,0.362,Enrolled,1180.19
0.754,129.04,50.54,40.19,0.225,Enrolled,663.71
1.95,110.48,883.33,362.02,0.278,Enrolled,281.93
6.4,93.25,261.0,58.49,0.169,Not Enrolled,710.21
10.58,72.87,358.18,70.42,0.465,Not Enrolled,484.36
2.88,126.39,169.2,59.71,0.332,Not Enrolled,654.6
52.08,48.17,1349.69,181.38,0.342,Not Enrolled,473.19
12.3,92.87,950.02,181.15,0.681,Enrolled,714.03
4.05,60.55,85.19,19.2,0.306,Enrolled,704.52
2.89,51.84,494.89,178.47,0.406,Enrolled,240.89
3.99,145.72,353.16,108.28,0.229,Not Enrolled,676.32
1.05,43.42,176.73,115.76,0.395,Not Enrolled,164.05
8.1,121.8,437.47,86.6,0.518,Not Enrolled,935.49
10.79,157.98,619.35,122.56,0.103,Not Enrolled,1033.17
4.35,76.6,495.26,144.69,0.235,Enrolled,437.64
55.89,468.02,548.99,35.04,0.399,Not Enrolled,5804.54
0.868,99.96,71.15,50.39,0.226,Enrolled,523.66
6.91,68.23,308.93,61.83,0.333,Enrolled,676.81
